BN_341	BN_342	BN_343	BN_344
ENSRNOG00000000488	155	236	127	78
ENSRNOG00000000490	450	515	321	171
ENSRNOG00000000493	1395	1354	926	611
ENSRNOG00000000495	294	271	192	99
ENSRNOG00000000498	386	378	237	157
ENSRNOG00000000500	29	29	32	17
ENSRNOG00000000501	88	87	1271	894
ENSRNOG00000000502	20	26	17	5
ENSRNOG00000000503	288	271	105	112
ENSRNOG00000000504	99	92	62	24
ENSRNOG00000000506	102	93	68	36
ENSRNOG00000000511	754	848	1525	1213
ENSRNOG00000000512	119	111	75	66
ENSRNOG00000000513	2101	2860	1975	1201
ENSRNOG00000000515	1	5	5	1
ENSRNOG00000000516	2	4	1	4
ENSRNOG00000000517	596	634	464	247
ENSRNOG00000000519	1277	1257	738	538
ENSRNOG00000000520	1593	1870	1362	1001
ENSRNOG00000000521	444	467	522	167
ENSRNOG00000000522	1	4	3	3
ENSRNOG00000000523	314	332	189	112
ENSRNOG00000000524	6069	5608	3862	2632
ENSRNOG00000000525	6	11	10	4
ENSRNOG00000000527	1124	1229	817	459
ENSRNOG00000000528	144	191	98	72
ENSRNOG00000000529	675	209	239	136
ENSRNOG00000000531	336	283	213	170
ENSRNOG00000000532	2777	2712	7335	5386
ENSRNOG00000000540	840	803	1353	977
ENSRNOG00000000541	2694	2839	14084	9735
ENSRNOG00000000542	63	63	62	20
ENSRNOG00000000543	781	1134	785	448
ENSRNOG00000000546	1280	1294	1021	925
ENSRNOG00000000547	304	233	252	202
ENSRNOG00000000549	1442	1417	962	559
ENSRNOG00000000551	334	302	189	115
ENSRNOG00000000552	314	333	916	335
ENSRNOG00000000557	10998	12836	6656	4914
ENSRNOG00000000560	104	133	559	550
ENSRNOG00000000561	1624	1266	1044	573
ENSRNOG00000000562	109	78	759	376
ENSRNOG00000000563	31	18	23	15
ENSRNOG00000000565	7477	5314	4135	1932
ENSRNOG00000000566	9779	9408	6197	3896
ENSRNOG00000000567	85	90	82	42
ENSRNOG00000000568	338	339	213	124
ENSRNOG00000000571	43944	46301	32920	17910
ENSRNOG00000000572	7	3	7	1
ENSRNOG00000000576	228	260	374	303
ENSRNOG00000000579	1608	1407	1013	453
ENSRNOG00000000580	1	1	3	0
ENSRNOG00000000581	1436	1257	813	503
ENSRNOG00000000582	217	188	151	124
ENSRNOG00000000583	130	150	113	45
ENSRNOG00000000585	1002	1449	712	544
ENSRNOG00000000586	492	452	263	209
ENSRNOG00000000587	637	728	374	276
ENSRNOG00000000588	1138	1490	878	680
ENSRNOG00000000589	473	468	318	247
ENSRNOG00000000590	83	103	49	28
ENSRNOG00000000593	212	196	148	83
ENSRNOG00000000595	313	285	229	142
ENSRNOG00000000596	178	230	339	171
ENSRNOG00000000598	58	58	42	35
ENSRNOG00000000599	570	710	557	322
ENSRNOG00000000604	1585	1866	986	772
ENSRNOG00000000609	319	314	280	162
ENSRNOG00000000610	5184	5452	3842	2473
ENSRNOG00000000611	114	128	89	54
ENSRNOG00000000613	949	1003	624	468
ENSRNOG00000000614	128	138	294	149
ENSRNOG00000000622	2652	2448	2314	1058
ENSRNOG00000000630	3	2	3	3
ENSRNOG00000000632	477	758	601	192
ENSRNOG00000000633	716	697	436	238
ENSRNOG00000000634	38	64	49	36
ENSRNOG00000000636	5	17	8	2
ENSRNOG00000000638	5	5	4	2
ENSRNOG00000000640	6	4	7	3
ENSRNOG00000000641	1201	1845	5442	3412
ENSRNOG00000000645	2677	2766	1928	1242
ENSRNOG00000000648	2074	2550	1868	924
ENSRNOG00000000653	1768	1653	917	536
ENSRNOG00000000655	1494	1852	1145	713
ENSRNOG00000000657	901	768	510	374
ENSRNOG00000000658	4903	7144	2861	2154
ENSRNOG00000000661	267	239	389	203
ENSRNOG00000000662	224	180	135	76
ENSRNOG00000000663	1128	1081	617	392
ENSRNOG00000000664	545	413	351	157
ENSRNOG00000000665	2863	3623	3755	3229
ENSRNOG00000000691	2	5	4	0
ENSRNOG00000000692	1118	1067	618	464
ENSRNOG00000000695	184	151	127	72
ENSRNOG00000000697	2577	2313	1400	881
ENSRNOG00000000699	261	306	267	124
ENSRNOG00000000700	45	36	33	11
ENSRNOG00000000701	2806	2699	1899	1062
ENSRNOG00000000702	563	601	3268	2530
ENSRNOG00000000704	197	229	162	94
ENSRNOG00000000708	0	3	2	1
ENSRNOG00000000718	599	544	358	279
ENSRNOG00000000720	267	325	169	174
ENSRNOG00000000728	233	265	161	115
ENSRNOG00000000729	747	761	1289	858
ENSRNOG00000000747	6	2	1	0
ENSRNOG00000000763	152	197	126	71
ENSRNOG00000000768	5	8	6	2
ENSRNOG00000000774	65	60	112	52
ENSRNOG00000000777	11917	9494	5461	2932
ENSRNOG00000000778	173	183	116	80
ENSRNOG00000000779	320	387	282	166
ENSRNOG00000000780	555	637	301	209
ENSRNOG00000000781	242	132	167	70
ENSRNOG00000000785	205	213	124	85
ENSRNOG00000000786	1985	2099	1289	837
ENSRNOG00000000795	83	76	74	41
ENSRNOG00000000796	8265	9790	5555	4630
ENSRNOG00000000798	970	869	563	334
ENSRNOG00000000799	2286	2361	8310	5942
ENSRNOG00000000800	9514	8850	6544	3935
ENSRNOG00000000802	125	138	259	277
ENSRNOG00000000804	2356	2528	1485	1039
ENSRNOG00000000805	951	1344	1221	608
ENSRNOG00000000808	1314	1291	787	546
ENSRNOG00000000809	40	48	40	20
ENSRNOG00000000811	17	32	20	7
ENSRNOG00000000812	314	325	173	147
ENSRNOG00000000814	21739	16853	12765	6453
ENSRNOG00000000815	4911	5022	4131	2492
ENSRNOG00000000816	327	292	211	116
ENSRNOG00000000818	38	43	34	17
ENSRNOG00000000823	1436	1428	865	737
ENSRNOG00000000824	265	326	237	140
ENSRNOG00000000826	1476	1832	1225	669
ENSRNOG00000000827	283	93	89	44
ENSRNOG00000000831	573	490	297	169
ENSRNOG00000000833	325	256	162	101
ENSRNOG00000000842	59	45	47	22
ENSRNOG00000000847	3989	4033	2331	1609
ENSRNOG00000000848	105	116	271	127
ENSRNOG00000000850	25344	23834	36566	21602
ENSRNOG00000000851	4453	4063	2606	1590
ENSRNOG00000000852	1780	1905	1140	748
ENSRNOG00000000853	2221	3035	1491	1077
ENSRNOG00000000854	86	97	54	38
ENSRNOG00000000855	211	332	483	288
ENSRNOG00000000857	0	4	0	1
ENSRNOG00000000866	831	865	399	343
ENSRNOG00000000867	1858	1670	940	552
ENSRNOG00000000869	218	240	245	158
ENSRNOG00000000871	0	1	4	2
ENSRNOG00000000875	206	189	134	80
ENSRNOG00000000878	269	482	281	145
ENSRNOG00000000879	378	303	257	185
ENSRNOG00000000881	469	420	301	208
ENSRNOG00000000885	17	13	13	6
ENSRNOG00000000886	5	6	3	0
ENSRNOG00000000888	1611	2029	1010	686
ENSRNOG00000000889	2	3	0	1
ENSRNOG00000000893	1289	1373	915	607
ENSRNOG00000000894	206	235	130	85
ENSRNOG00000000895	486	620	330	219
ENSRNOG00000000900	1117	870	872	485
ENSRNOG00000000901	661	714	695	545
ENSRNOG00000000902	2901	3663	112548	114624
ENSRNOG00000000906	20	8	2	3
ENSRNOG00000000907	148	216	126	70
ENSRNOG00000000909	416	494	365	206
ENSRNOG00000000913	2065	2035	6717	3543
ENSRNOG00000000917	61	76	94	46
ENSRNOG00000000918	1196	1010	886	450
ENSRNOG00000000920	4	8	6	9
ENSRNOG00000000921	833	825	538	373
ENSRNOG00000000922	836	849	591	356
ENSRNOG00000000923	7616	8054	4251	3198
ENSRNOG00000000924	43	40	21	11
ENSRNOG00000000925	391	576	320	231
ENSRNOG00000000926	782	913	1321	893
ENSRNOG00000000931	378	392	229	143
ENSRNOG00000000936	864	849	545	415
ENSRNOG00000000937	1963	1887	1408	601
ENSRNOG00000000938	5253	5843	3346	2236
ENSRNOG00000000940	1820	1959	1484	908
ENSRNOG00000000942	211	189	117	68
ENSRNOG00000000954	122	147	96	62
ENSRNOG00000000955	1443	1630	940	489
ENSRNOG00000000956	142	118	80	60
ENSRNOG00000000957	756	1090	531	405
ENSRNOG00000000961	0	5	2	1
ENSRNOG00000000962	570	573	439	227
ENSRNOG00000000967	4464	4426	1402	2218
ENSRNOG00000000968	1240	1277	684	551
ENSRNOG00000000969	41023	47123	27748	21858
ENSRNOG00000000974	85	70	79	44
ENSRNOG00000000975	909	1011	819	485
ENSRNOG00000000977	386	455	310	208
ENSRNOG00000000979	385	462	358	185
ENSRNOG00000000981	3344	3133	2466	1390
ENSRNOG00000000983	261	274	173	141
ENSRNOG00000000985	407	416	281	230
ENSRNOG00000000986	355	311	229	124
ENSRNOG00000000987	421	433	267	169
ENSRNOG00000000988	1629	1474	960	632
ENSRNOG00000000989	1197	1312	724	586
ENSRNOG00000000990	2403	2744	1466	1050
ENSRNOG00000000991	2694	3242	3002	1715
ENSRNOG00000000994	976	906	602	327
ENSRNOG00000000996	1375	1339	781	545
ENSRNOG00000000999	286	325	183	162
ENSRNOG00000001001	1	4	1	4
ENSRNOG00000001003	909	845	561	290
ENSRNOG00000001004	1106	803	2710	1914
ENSRNOG00000001005	4	7	10	2
ENSRNOG00000001006	19	26	11	9
ENSRNOG00000001007	850	897	620	370
ENSRNOG00000001009	389	353	320	153
ENSRNOG00000001010	709	786	365	273
ENSRNOG00000001030	3593	2650	1796	1340
