BN_336	BN_337	BN_338	BN_339
ENSRNOG00000000481	638	745	1423	1146
ENSRNOG00000000483	24	19	95	40
ENSRNOG00000000485	175	308	772	511
ENSRNOG00000000486	4	9	5	12
ENSRNOG00000000488	76	90	144	88
ENSRNOG00000000490	988	1207	1483	964
ENSRNOG00000000493	987	1157	1409	1201
ENSRNOG00000000495	331	365	716	527
ENSRNOG00000000498	684	634	1570	1043
ENSRNOG00000000500	30	45	165	94
ENSRNOG00000000501	334	304	4816	4139
ENSRNOG00000000502	30	38	80	44
ENSRNOG00000000503	754	754	1652	1184
ENSRNOG00000000504	226	241	286	275
ENSRNOG00000000506	137	136	307	206
ENSRNOG00000000511	735	815	1053	880
ENSRNOG00000000512	745	853	5929	3853
ENSRNOG00000000513	4571	5246	9103	7315
ENSRNOG00000000515	28	14	39	13
ENSRNOG00000000516	3	3	3	1
ENSRNOG00000000517	490	518	886	703
ENSRNOG00000000519	1304	1263	1992	1856
ENSRNOG00000000520	2011	2485	3341	3327
ENSRNOG00000000521	384	638	1152	452
ENSRNOG00000000522	20	13	35	35
ENSRNOG00000000523	229	252	324	241
ENSRNOG00000000524	3320	3469	4444	3340
ENSRNOG00000000525	6	8	22	6
ENSRNOG00000000527	1547	1702	2084	1640
ENSRNOG00000000528	206	266	287	216
ENSRNOG00000000529	353	180	431	270
ENSRNOG00000000531	246	254	266	264
ENSRNOG00000000532	2253	2434	5494	5001
ENSRNOG00000000540	1150	886	6211	4088
ENSRNOG00000000541	2939	3115	14559	11911
ENSRNOG00000000542	81	114	157	83
ENSRNOG00000000543	1924	2252	3403	2446
ENSRNOG00000000546	1861	1599	2060	1835
ENSRNOG00000000547	254	181	457	391
ENSRNOG00000000549	1852	1835	2357	1792
ENSRNOG00000000551	515	553	736	631
ENSRNOG00000000552	365	324	2220	1345
ENSRNOG00000000557	8164	8764	16846	14844
ENSRNOG00000000560	160	164	378	284
ENSRNOG00000000561	3139	2866	4189	3140
ENSRNOG00000000562	70	114	97	81
ENSRNOG00000000563	39	38	78	55
ENSRNOG00000000565	6455	4810	8849	5186
ENSRNOG00000000566	5722	5579	6932	5198
ENSRNOG00000000567	127	141	328	222
ENSRNOG00000000568	302	276	510	341
ENSRNOG00000000571	21701	26005	30580	25365
ENSRNOG00000000572	34	31	46	27
ENSRNOG00000000576	373	396	3416	3171
ENSRNOG00000000579	2632	2910	3015	2431
ENSRNOG00000000580	2	0	5	2
ENSRNOG00000000581	1400	1392	1523	1338
ENSRNOG00000000582	86	74	142	170
ENSRNOG00000000583	891	815	3597	2175
ENSRNOG00000000585	2279	2865	9977	9756
ENSRNOG00000000586	467	522	727	565
ENSRNOG00000000587	351	405	403	394
ENSRNOG00000000588	1925	2210	4492	3578
ENSRNOG00000000589	390	337	466	383
ENSRNOG00000000590	95	126	117	123
ENSRNOG00000000593	1440	1360	2626	1935
ENSRNOG00000000595	482	530	1009	674
ENSRNOG00000000596	618	546	2690	1526
ENSRNOG00000000598	163	164	197	155
ENSRNOG00000000599	703	755	1122	784
ENSRNOG00000000604	1513	1412	1386	1393
ENSRNOG00000000609	1554	1628	2890	1719
ENSRNOG00000000610	4199	4548	5498	4320
ENSRNOG00000000611	214	211	480	244
ENSRNOG00000000613	1470	1529	1723	1578
ENSRNOG00000000614	512	482	1071	582
ENSRNOG00000000622	3305	3775	3808	2991
ENSRNOG00000000630	4	4	51	14
ENSRNOG00000000632	254	422	524	246
ENSRNOG00000000633	1541	1270	2518	1730
ENSRNOG00000000634	119	120	245	195
ENSRNOG00000000636	27	18	60	21
ENSRNOG00000000638	24	42	45	31
ENSRNOG00000000640	13	9	4	10
ENSRNOG00000000641	2526	3475	23493	16424
ENSRNOG00000000645	7344	7860	11522	8340
ENSRNOG00000000648	5667	5189	10253	6553
ENSRNOG00000000653	4487	3975	6842	5052
ENSRNOG00000000655	2038	2058	3025	2052
ENSRNOG00000000657	867	761	1255	812
ENSRNOG00000000658	3873	6048	6293	6732
ENSRNOG00000000661	507	564	1244	655
ENSRNOG00000000662	79	134	98	98
ENSRNOG00000000663	860	952	904	935
ENSRNOG00000000664	1300	1100	2185	1477
ENSRNOG00000000665	2417	2726	8587	7587
ENSRNOG00000000691	3	3	11	3
ENSRNOG00000000692	970	1081	1291	1208
ENSRNOG00000000695	231	237	460	308
ENSRNOG00000000697	1620	1396	2436	1602
ENSRNOG00000000699	124	167	275	177
ENSRNOG00000000700	41	32	65	58
ENSRNOG00000000701	4554	4899	4204	3760
ENSRNOG00000000702	466	507	1357	1264
ENSRNOG00000000704	149	195	291	174
ENSRNOG00000000708	7	5	10	2
ENSRNOG00000000718	2137	2467	2564	2129
ENSRNOG00000000720	809	984	769	774
ENSRNOG00000000728	408	418	673	583
ENSRNOG00000000729	515	536	2466	1894
ENSRNOG00000000747	20	19	21	11
ENSRNOG00000000763	116	121	151	127
ENSRNOG00000000768	2	3	13	5
ENSRNOG00000000774	125	123	554	408
ENSRNOG00000000777	10351	8862	9526	7388
ENSRNOG00000000778	246	206	252	221
ENSRNOG00000000779	215	267	313	203
ENSRNOG00000000780	606	667	807	609
ENSRNOG00000000781	270	247	500	274
ENSRNOG00000000785	481	592	789	714
ENSRNOG00000000786	1520	1852	1823	1374
ENSRNOG00000000795	228	285	292	182
ENSRNOG00000000796	11253	12143	13157	13737
ENSRNOG00000000798	1074	1073	1144	1165
ENSRNOG00000000799	2078	1850	5407	5849
ENSRNOG00000000800	16731	15216	23496	17325
ENSRNOG00000000802	217	192	223	208
ENSRNOG00000000804	12932	7595	78886	25451
ENSRNOG00000000805	886	1480	1821	1343
ENSRNOG00000000808	1332	1224	1604	1162
ENSRNOG00000000809	182	160	208	89
ENSRNOG00000000811	130	114	187	107
ENSRNOG00000000812	38	59	301	162
ENSRNOG00000000814	12148	8064	10819	8288
ENSRNOG00000000815	3760	3989	4867	3954
ENSRNOG00000000816	271	280	390	302
ENSRNOG00000000818	22	27	61	35
ENSRNOG00000000823	2588	2498	5700	5753
ENSRNOG00000000824	1697	1915	2424	1867
ENSRNOG00000000826	757	825	1183	970
ENSRNOG00000000827	504	381	572	305
ENSRNOG00000000831	318	355	411	307
ENSRNOG00000000833	431	355	592	415
ENSRNOG00000000842	23	29	127	81
ENSRNOG00000000847	1605	1672	1966	1387
ENSRNOG00000000848	180	214	206	169
ENSRNOG00000000850	9202	9875	25308	18841
ENSRNOG00000000851	2454	2975	3670	2701
ENSRNOG00000000852	2490	3087	6006	4134
ENSRNOG00000000853	1296	1806	1441	1408
ENSRNOG00000000854	149	172	146	107
ENSRNOG00000000855	159	213	241	148
ENSRNOG00000000857	4	10	16	3
ENSRNOG00000000866	757	761	852	817
ENSRNOG00000000867	960	993	1117	1019
ENSRNOG00000000869	232	209	303	229
ENSRNOG00000000871	22	15	23	16
ENSRNOG00000000875	205	213	309	261
ENSRNOG00000000878	115	230	321	199
ENSRNOG00000000879	538	593	767	710
ENSRNOG00000000881	1129	1124	1618	1198
ENSRNOG00000000885	19	16	40	18
ENSRNOG00000000886	105	73	165	60
ENSRNOG00000000888	1012	1110	1194	1050
ENSRNOG00000000889	18	32	36	36
ENSRNOG00000000893	1712	2057	2386	1732
ENSRNOG00000000894	285	379	585	421
ENSRNOG00000000895	454	585	676	580
ENSRNOG00000000900	2969	2785	5096	3520
ENSRNOG00000000901	1175	1106	1468	1184
ENSRNOG00000000902	2085	2504	10770	15154
ENSRNOG00000000906	5	4	20	10
ENSRNOG00000000907	121	178	177	130
ENSRNOG00000000909	693	1089	1442	1024
ENSRNOG00000000913	1533	1683	2190	1692
ENSRNOG00000000917	71	77	81	111
ENSRNOG00000000918	526	643	712	558
ENSRNOG00000000920	3	9	11	3
ENSRNOG00000000921	4148	4425	6051	4528
ENSRNOG00000000922	502	615	742	588
ENSRNOG00000000923	3654	4002	9179	7894
ENSRNOG00000000924	49	38	153	98
ENSRNOG00000000925	258	421	425	419
ENSRNOG00000000926	540	748	632	549
ENSRNOG00000000931	751	685	1292	971
ENSRNOG00000000936	1455	1347	2240	1785
ENSRNOG00000000937	2008	2092	2952	1621
ENSRNOG00000000938	4428	4753	4285	3840
ENSRNOG00000000940	1746	2081	2538	2043
ENSRNOG00000000942	2027	1568	3481	2477
ENSRNOG00000000954	1158	1448	1594	1256
ENSRNOG00000000955	1823	2016	4208	2715
ENSRNOG00000000956	137	124	244	139
ENSRNOG00000000957	2687	2917	7514	5748
ENSRNOG00000000961	4	9	22	16
ENSRNOG00000000962	517	593	857	698
ENSRNOG00000000967	2801	3156	4464	7919
ENSRNOG00000000968	2139	2241	11012	10405
ENSRNOG00000000969	25346	28555	27890	27578
ENSRNOG00000000974	101	151	434	191
ENSRNOG00000000975	762	921	1228	873
ENSRNOG00000000977	296	328	1712	1395
ENSRNOG00000000979	331	443	730	449
ENSRNOG00000000981	2620	2929	4720	3323
ENSRNOG00000000983	295	359	402	351
ENSRNOG00000000985	976	1363	1630	1319
ENSRNOG00000000986	251	292	882	529
ENSRNOG00000000987	298	325	443	355
ENSRNOG00000000988	836	983	997	929
ENSRNOG00000000989	841	953	887	805
ENSRNOG00000000990	1135	964	1456	1219
ENSRNOG00000000991	2286	3177	4860	3924
ENSRNOG00000000994	469	574	651	549
ENSRNOG00000000996	2040	2584	2418	2147
ENSRNOG00000000999	598	738	1174	842
ENSRNOG00000001001	0	1	3	1
ENSRNOG00000001003	452	504	560	405
ENSRNOG00000001004	1217	1192	14970	9429
ENSRNOG00000001005	12	7	17	8
ENSRNOG00000001006	25	35	31	25
ENSRNOG00000001007	1161	1179	3715	2425
ENSRNOG00000001009	813	929	1300	829
ENSRNOG00000001010	761	945	1310	1048
ENSRNOG00000001030	5357	3929	36322	32493
ENSRNOG00000001032	1601	1581	3622	3483
ENSRNOG00000001033	450	476	592	591
ENSRNOG00000001034	95	95	199	155
ENSRNOG00000001035	373	420	538	499
ENSRNOG00000001037	599	613	616	660
ENSRNOG00000001039	352	409	438	392
ENSRNOG00000001040	309	259	597	579
ENSRNOG00000001043	38	36	163	113
ENSRNOG00000001044	354	478	377	376
ENSRNOG00000001047	318	343	402	321
ENSRNOG00000001049	40842	41745	48268	36118
ENSRNOG00000001050	3150	2974	3853	3179
ENSRNOG00000001052	702	626	1054	584
ENSRNOG00000001053	9193	9196	9787	8904
ENSRNOG00000001055	261	221	396	294
ENSRNOG00000001056	157	183	221	168
ENSRNOG00000001058	1692	1873	4209	4145
