BN_336	BN_337	BN_338	BN_339
ENSRNOG00000007837	9	14	24	26
ENSRNOG00000007838	1296	1396	1290	1221
ENSRNOG00000007839	3597	3141	4783	3941
ENSRNOG00000007842	2004	2419	2472	1872
ENSRNOG00000007845	1001	972	1187	973
ENSRNOG00000007849	161	123	176	144
ENSRNOG00000007850	40	35	346	197
ENSRNOG00000007851	4852	5419	5431	5291
ENSRNOG00000007853	428	398	502	504
ENSRNOG00000007859	663	703	933	725
ENSRNOG00000007862	11041	9274	9555	8447
ENSRNOG00000007864	229	165	175	190
ENSRNOG00000007865	35	40	52	63
ENSRNOG00000007866	230	164	216	224
ENSRNOG00000007867	1656	1582	3109	2317
ENSRNOG00000007869	43	17	36	29
ENSRNOG00000007874	227	251	331	254
ENSRNOG00000007875	215	309	345	294
ENSRNOG00000007879	57	68	149	120
ENSRNOG00000007881	1340	1475	2029	1545
ENSRNOG00000007882	52	54	106	80
ENSRNOG00000007883	917	943	2687	2759
ENSRNOG00000007884	907	922	2036	1944
ENSRNOG00000007886	72171	195082	142023	182523
ENSRNOG00000007887	1399	1441	2761	2072
ENSRNOG00000007890	1078	1114	1120	1257
ENSRNOG00000007892	20426	22132	25080	21337
ENSRNOG00000007894	1506	1380	1772	1905
ENSRNOG00000007895	5118	4581	4110	3991
ENSRNOG00000007899	599	705	683	610
ENSRNOG00000007900	583	705	1004	882
ENSRNOG00000007901	3520	3629	5132	3952
ENSRNOG00000007905	679	711	12476	11105
ENSRNOG00000007906	124	210	292	153
ENSRNOG00000007907	57	57	2897	1510
ENSRNOG00000007916	2766	2734	3727	3102
ENSRNOG00000007917	71	52	91	61
ENSRNOG00000007918	287	378	706	391
ENSRNOG00000007920	790	738	1960	1212
ENSRNOG00000007921	4048	3302	4112	4149
ENSRNOG00000007923	7	16	13	10
ENSRNOG00000007924	574	628	1360	1362
ENSRNOG00000007926	1534	1105	2378	1863
ENSRNOG00000007927	3532	2635	2662	2427
ENSRNOG00000007937	938	901	907	881
ENSRNOG00000007939	2944	3785	3348	3230
ENSRNOG00000007942	24	22	125	82
ENSRNOG00000007946	800	813	3446	2429
ENSRNOG00000007947	1700	1405	2721	2246
ENSRNOG00000007948	1071	1081	2147	1716
ENSRNOG00000007949	35624	31537	71417	67957
ENSRNOG00000007951	8	14	21	20
ENSRNOG00000007956	588	648	1021	768
ENSRNOG00000007957	1	8	52	40
ENSRNOG00000007964	1129	1283	2163	1947
ENSRNOG00000007967	4655	5050	28100	24419
ENSRNOG00000007968	554	760	4728	3284
ENSRNOG00000007970	308	375	1508	1004
ENSRNOG00000007971	623	886	1146	846
ENSRNOG00000007972	817	925	1019	940
ENSRNOG00000007975	2424	2443	8021	6113
ENSRNOG00000007979	433	549	1029	983
ENSRNOG00000007980	92	85	143	110
ENSRNOG00000007981	92	119	140	93
ENSRNOG00000007982	296	342	1593	861
ENSRNOG00000007984	248	200	312	227
ENSRNOG00000007988	526	544	1343	1285
ENSRNOG00000007989	18	23	49	39
ENSRNOG00000007990	4596	4889	5585	4531
ENSRNOG00000007992	812	798	958	859
ENSRNOG00000007993	276	356	465	366
ENSRNOG00000007997	220	258	691	642
ENSRNOG00000007998	1215	1277	1247	1204
ENSRNOG00000008005	93	121	1101	691
ENSRNOG00000008010	25	18	44	12
ENSRNOG00000008011	437	297	593	535
ENSRNOG00000008012	14644	16542	22452	17332
ENSRNOG00000008015	26	27	38	15
ENSRNOG00000008016	126	133	508	414
ENSRNOG00000008017	205	291	893	787
ENSRNOG00000008022	1001	899	1204	917
ENSRNOG00000008024	914	1041	2090	1379
ENSRNOG00000008025	11	20	11	15
ENSRNOG00000008026	3	9	13	13
ENSRNOG00000008030	32	44	191	82
ENSRNOG00000008031	39	34	473	187
ENSRNOG00000008035	227	275	417	265
ENSRNOG00000008036	2200	2465	3121	2671
ENSRNOG00000008037	296	287	817	679
ENSRNOG00000008038	42	64	54	41
ENSRNOG00000008039	1228	1269	1454	1266
ENSRNOG00000008040	11	26	54	13
ENSRNOG00000008045	27	29	28	16
ENSRNOG00000008046	316	332	621	382
ENSRNOG00000008047	7540	7287	11082	10168
ENSRNOG00000008048	441	443	570	435
ENSRNOG00000008049	696	857	1508	983
ENSRNOG00000008050	216	32	42	35
ENSRNOG00000008051	382	358	667	470
ENSRNOG00000008052	413	518	855	684
ENSRNOG00000008053	213	164	486	308
ENSRNOG00000008054	12	19	29	15
ENSRNOG00000008055	205	174	197	170
ENSRNOG00000008056	143	178	160	198
ENSRNOG00000008057	21	19	25	17
ENSRNOG00000008061	449	454	1027	661
ENSRNOG00000008062	65	85	113	94
ENSRNOG00000008063	11654	11380	13643	11150
ENSRNOG00000008064	1322	1467	7504	5371
ENSRNOG00000008065	1888	1658	3524	2580
ENSRNOG00000008067	517	447	1560	980
ENSRNOG00000008075	346	321	413	352
ENSRNOG00000008079	10924	8073	10088	7171
ENSRNOG00000008081	520	532	629	645
ENSRNOG00000008082	117	74	157	74
ENSRNOG00000008086	360	254	4542	2605
ENSRNOG00000008088	122	166	181	122
ENSRNOG00000008090	1330	1415	2013	1535
ENSRNOG00000008091	49	80	52	62
ENSRNOG00000008095	1103	1109	8614	4401
ENSRNOG00000008099	28	32	25	34
ENSRNOG00000008102	102	123	145	159
ENSRNOG00000008103	9145	10666	10209	8632
ENSRNOG00000008105	13	5	10	12
ENSRNOG00000008106	5044	5360	4483	4409
ENSRNOG00000008108	847	1001	1529	1281
ENSRNOG00000008113	251	522	1007	597
ENSRNOG00000008115	395	488	659	402
ENSRNOG00000008116	11014	11546	17917	13389
ENSRNOG00000008117	2545	2083	2793	2308
ENSRNOG00000008124	1493	1635	1780	1757
ENSRNOG00000008129	357	483	631	493
ENSRNOG00000008133	53	87	108	77
ENSRNOG00000008134	37	34	94	60
ENSRNOG00000008137	519	620	1104	670
ENSRNOG00000008140	4223	5074	5333	3768
ENSRNOG00000008142	385	595	772	609
ENSRNOG00000008144	1025	1142	1730	1144
ENSRNOG00000008145	640	705	1644	1222
ENSRNOG00000008146	17	23	243	130
ENSRNOG00000008151	517	475	2628	2138
ENSRNOG00000008155	84	107	102	91
ENSRNOG00000008156	676	734	782	829
ENSRNOG00000008157	32	41	121	113
ENSRNOG00000008159	42	64	28	38
ENSRNOG00000008161	7	10	22	19
ENSRNOG00000008163	4240	4895	16877	14659
ENSRNOG00000008165	577	745	2452	1392
ENSRNOG00000008167	1316	1381	2920	2006
ENSRNOG00000008168	1	7	5	4
ENSRNOG00000008169	535	585	1400	988
ENSRNOG00000008173	862	613	1325	1042
ENSRNOG00000008174	1169	997	1475	1145
ENSRNOG00000008177	207	162	867	699
ENSRNOG00000008178	409	364	1716	973
ENSRNOG00000008180	2799	2644	4365	3179
ENSRNOG00000008182	29	35	46	29
ENSRNOG00000008184	10	9	6	7
ENSRNOG00000008187	829	706	1752	910
ENSRNOG00000008190	6001	6367	103209	73167
ENSRNOG00000008191	16	22	33	30
ENSRNOG00000008193	1467	1523	1888	1580
ENSRNOG00000008194	2965	3159	8483	6971
ENSRNOG00000008195	6820	7915	8371	7349
ENSRNOG00000008196	1009	1027	1202	966
ENSRNOG00000008209	5369	6646	13583	9429
ENSRNOG00000008212	695	778	1911	1669
ENSRNOG00000008214	3727	3494	4554	3649
ENSRNOG00000008215	217	200	366	251
ENSRNOG00000008218	196	171	622	447
ENSRNOG00000008223	41	35	43	50
ENSRNOG00000008224	262	346	613	360
ENSRNOG00000008226	823	947	882	829
ENSRNOG00000008234	62	73	104	67
ENSRNOG00000008235	20	13	28	16
ENSRNOG00000008236	8430	7528	8371	7498
ENSRNOG00000008237	288	234	429	342
ENSRNOG00000008239	940	1082	1710	1160
ENSRNOG00000008243	881	1230	1576	1293
ENSRNOG00000008244	68	39	625	402
ENSRNOG00000008245	17	26	68	35
ENSRNOG00000008246	1619	2547	3784	2936
ENSRNOG00000008247	658	703	849	701
ENSRNOG00000008256	628	745	789	623
ENSRNOG00000008257	15	9	18	6
ENSRNOG00000008258	739	946	2037	1386
ENSRNOG00000008270	50	51	218	129
ENSRNOG00000008271	5491	6172	7027	6634
ENSRNOG00000008274	1776	1738	2168	1851
ENSRNOG00000008277	1140	1435	3466	3054
ENSRNOG00000008278	598	665	4976	3825
ENSRNOG00000008279	980	1105	1085	878
ENSRNOG00000008282	0	6	3	5
ENSRNOG00000008283	392	483	4621	2744
ENSRNOG00000008287	172	208	599	615
ENSRNOG00000008288	1130	1101	11059	9052
ENSRNOG00000008289	11872	14793	19267	13204
ENSRNOG00000008291	264	195	339	255
ENSRNOG00000008292	2840	3157	3607	3132
ENSRNOG00000008296	434	515	433	358
ENSRNOG00000008297	668	660	858	640
ENSRNOG00000008298	4540	3876	5439	4345
ENSRNOG00000008299	24	8	62	29
ENSRNOG00000008300	54	39	125	105
ENSRNOG00000008301	1253	2072	2030	1554
ENSRNOG00000008305	12209	17066	22939	18305
ENSRNOG00000008307	430	480	2165	2113
ENSRNOG00000008309	624	712	1361	1333
ENSRNOG00000008310	4	11	10	9
ENSRNOG00000008313	39	37	55	38
ENSRNOG00000008314	877	799	1112	881
ENSRNOG00000008316	915	894	1270	1080
ENSRNOG00000008319	147	168	242	152
ENSRNOG00000008320	6036	5880	6007	5652
ENSRNOG00000008323	7	15	87	47
ENSRNOG00000008329	2743	2749	2877	2349
ENSRNOG00000008331	7090	6449	6878	6376
ENSRNOG00000008332	120	127	200	138
ENSRNOG00000008334	33	22	55	51
ENSRNOG00000008336	368	533	693	600
ENSRNOG00000008338	1941	1963	2703	2123
ENSRNOG00000008345	672	891	1169	1058
ENSRNOG00000008346	110	162	80	70
ENSRNOG00000008351	16	20	26	19
ENSRNOG00000008353	178	121	154	154
ENSRNOG00000008354	434	426	787	623
ENSRNOG00000008356	74	72	80	88
ENSRNOG00000008362	636	513	3222	2569
ENSRNOG00000008363	4	7	2	4
ENSRNOG00000008364	90580	81137	102051	72623
ENSRNOG00000008365	24	22	152	52
ENSRNOG00000008369	263	336	294	267
ENSRNOG00000008372	1180	1290	1524	1222
ENSRNOG00000008373	2032	2190	2949	2473
ENSRNOG00000008374	6597	7131	9015	7896
ENSRNOG00000008376	116	115	177	133
ENSRNOG00000008377	2473	2548	4624	3285
ENSRNOG00000008378	139	183	189	123
ENSRNOG00000008382	20	17	26	18
ENSRNOG00000008390	1289	1347	1558	1476
ENSRNOG00000008392	1597	1868	2697	2479
ENSRNOG00000008393	9128	9545	10603	10373
ENSRNOG00000008394	19	34	187	133
ENSRNOG00000008399	229	239	261	240
ENSRNOG00000008400	615	586	1000	678
ENSRNOG00000008401	409	573	1068	696
ENSRNOG00000008405	395	404	453	467
ENSRNOG00000008409	413	504	1222	942
ENSRNOG00000008410	646	653	837	757
ENSRNOG00000008411	1651	2426	2251	2530
ENSRNOG00000008412	1	4	14	6
ENSRNOG00000008414	11138	14476	17353	13343
ENSRNOG00000008415	179	234	354	216
ENSRNOG00000008416	122	128	146	107
ENSRNOG00000008421	811	980	997	876
ENSRNOG00000008422	6	30	42	30
ENSRNOG00000008424	503	526	2485	2202
ENSRNOG00000008425	523	474	1122	581
ENSRNOG00000008427	440	614	842	563
ENSRNOG00000008431	51	86	126	53
ENSRNOG00000008432	501	570	1081	603
ENSRNOG00000008439	0	0	2	3
ENSRNOG00000008443	224	305	467	422
ENSRNOG00000008444	584	605	1152	730
ENSRNOG00000008445	31	38	105	63
ENSRNOG00000008450	381	796	880	418
ENSRNOG00000008451	799	683	1157	996
ENSRNOG00000008455	736	785	1149	998
ENSRNOG00000008456	1133	1283	1166	1132
ENSRNOG00000008461	1472	1366	1267	1175
ENSRNOG00000008463	59	39	49	51
ENSRNOG00000008465	13510	20721	20481	18649
ENSRNOG00000008469	374	344	325	300
ENSRNOG00000008471	97	158	274	177
ENSRNOG00000008472	1070	1111	1270	1306
ENSRNOG00000008474	8927	8701	10952	8563
ENSRNOG00000008479	1501	960	7239	4296
ENSRNOG00000008480	2	5	9	3
ENSRNOG00000008481	166	202	395	250
ENSRNOG00000008482	2361	1769	4499	2493
ENSRNOG00000008484	702	781	674	730
ENSRNOG00000008487	1499	1660	8305	6699
ENSRNOG00000008489	35	50	296	392
ENSRNOG00000008490	1062	1084	2419	2619
ENSRNOG00000008492	8	29	29	21
ENSRNOG00000008507	137	116	436	315
ENSRNOG00000008510	1385	1626	3362	1897
ENSRNOG00000008512	548	579	594	513
ENSRNOG00000008515	14	19	79	75
ENSRNOG00000008517	391	561	993	547
ENSRNOG00000008519	5746	7463	9860	8094
ENSRNOG00000008523	3432	2708	3985	3411
ENSRNOG00000008524	3111	2473	4000	3276
ENSRNOG00000008529	9	6	17	7
ENSRNOG00000008530	115	125	679	628
ENSRNOG00000008533	327	516	846	638
ENSRNOG00000008534	3	3	3	8
ENSRNOG00000008536	0	3	3	10
ENSRNOG00000008539	33	72	88	69
ENSRNOG00000008543	37	57	49	38
ENSRNOG00000008546	883	1030	938	907
ENSRNOG00000008551	3890	4493	3809	3183
ENSRNOG00000008552	75	89	238	155
ENSRNOG00000008553	194	274	507	416
ENSRNOG00000008554	1839	1265	10112	5674
ENSRNOG00000008555	1508	1599	1939	1479
ENSRNOG00000008557	715	687	822	641
ENSRNOG00000008560	20	33	48	46
ENSRNOG00000008564	219	301	371	340
ENSRNOG00000008565	405	407	533	471
ENSRNOG00000008566	2551	2891	2302	2313
ENSRNOG00000008569	4039	4428	4799	3770
ENSRNOG00000008570	9	2	7	9
ENSRNOG00000008572	1782	1829	2063	1821
ENSRNOG00000008575	24	13	20	18
ENSRNOG00000008577	293	364	647	515
ENSRNOG00000008578	757	979	1374	930
ENSRNOG00000008580	1525	1643	1783	1511
ENSRNOG00000008584	296	333	389	360
ENSRNOG00000008585	31	15	124	180
ENSRNOG00000008586	3354	2880	4970	5508
ENSRNOG00000008587	1930	1846	2155	1686
ENSRNOG00000008588	16	24	31	20
ENSRNOG00000008591	3736	4216	5261	4799
ENSRNOG00000008593	1312	1330	1832	1393
ENSRNOG00000008595	62	96	301	255
ENSRNOG00000008596	274	273	609	490
ENSRNOG00000008597	452	388	1476	1140
ENSRNOG00000008598	932	968	1510	1179
ENSRNOG00000008600	6	6	10	10
ENSRNOG00000008602	3119	3817	5289	3985
ENSRNOG00000008604	2039	1939	1986	1880
ENSRNOG00000008605	1498	1698	1768	1194
ENSRNOG00000008607	1796	1734	2244	1882
ENSRNOG00000008610	249	234	244	237
ENSRNOG00000008612	179	147	649	394
ENSRNOG00000008613	619	737	814	673
ENSRNOG00000008614	1895	2014	5005	3904
ENSRNOG00000008615	2961	2981	2849	2927
ENSRNOG00000008616	5828	5607	7867	6577
ENSRNOG00000008618	482	517	1191	898
ENSRNOG00000008619	274	308	552	401
ENSRNOG00000008620	1204	876	3763	2280
ENSRNOG00000008622	54	52	135	115
ENSRNOG00000008625	8	9	8	3
ENSRNOG00000008626	1889	1736	2123	1713
ENSRNOG00000008628	385	407	692	586
ENSRNOG00000008629	3836	4420	5831	5328
ENSRNOG00000008632	373	278	656	437
ENSRNOG00000008634	640	634	694	657
ENSRNOG00000008635	109	87	902	959
ENSRNOG00000008637	271	270	475	362
ENSRNOG00000008639	6228	8058	11705	8840
ENSRNOG00000008641	4137	4165	4629	4039
ENSRNOG00000008642	526	645	864	743
ENSRNOG00000008643	488	522	794	686
ENSRNOG00000008652	1650	1428	1880	1540
ENSRNOG00000008656	59	50	36	41
ENSRNOG00000008658	707	408	922	751
ENSRNOG00000008659	1549	1655	3336	2162
ENSRNOG00000008663	412	453	531	517
ENSRNOG00000008666	3792	2568	6290	4364
ENSRNOG00000008672	2679	2600	2594	2429
ENSRNOG00000008673	1668	2006	6498	5751
ENSRNOG00000008674	118	82	120	105
ENSRNOG00000008676	484	681	906	550
ENSRNOG00000008678	263	291	621	374
ENSRNOG00000008680	115	122	178	103
ENSRNOG00000008686	22	48	70	38
ENSRNOG00000008688	1448	1403	26532	23919
ENSRNOG00000008689	733	656	1185	1114
ENSRNOG00000008691	1117	968	2006	1314
ENSRNOG00000008694	45895	36679	218288	131393
ENSRNOG00000008696	234	211	336	213
ENSRNOG00000008697	41	24	108	108
ENSRNOG00000008703	1282	1431	1806	1286
ENSRNOG00000008704	1821	1489	3220	2369
ENSRNOG00000008706	410	452	557	620
ENSRNOG00000008707	10	20	72	34
ENSRNOG00000008709	944	640	2237	1435
ENSRNOG00000008711	614	866	902	750
ENSRNOG00000008712	742	937	1272	1025
ENSRNOG00000008713	7696	7699	9622	9785
ENSRNOG00000008716	5	0	2	3
ENSRNOG00000008725	1651	1685	2387	1974
ENSRNOG00000008728	53	54	45	26
ENSRNOG00000008733	245	247	212	237
ENSRNOG00000008734	1688	1616	2498	1996
ENSRNOG00000008736	116	115	164	124
ENSRNOG00000008737	3	3	1	1
ENSRNOG00000008738	386	441	834	405
ENSRNOG00000008741	1414	1298	1797	1578
ENSRNOG00000008744	3080	3533	3630	3085
ENSRNOG00000008746	380	437	465	405
ENSRNOG00000008747	3338	2249	5724	3493
ENSRNOG00000008748	1222	1342	1304	1173
ENSRNOG00000008749	1871	1832	3714	2405
ENSRNOG00000008752	568	609	1781	1371
ENSRNOG00000008754	630	706	1404	779
ENSRNOG00000008755	23704	28983	58897	46356
ENSRNOG00000008757	578	604	882	538
ENSRNOG00000008758	297	306	502	372
ENSRNOG00000008759	40	57	123	83
ENSRNOG00000008761	7	9	35	42
ENSRNOG00000008764	1427	1607	2257	1727
ENSRNOG00000008765	1538	1442	2586	1983
ENSRNOG00000008767	976	798	1542	1122
ENSRNOG00000008775	9	13	11	8
ENSRNOG00000008781	2054	3010	9552	7128
ENSRNOG00000008782	1672	1390	3048	3420
ENSRNOG00000008785	22	22	23	19
ENSRNOG00000008786	2985	3666	3792	3558
ENSRNOG00000008788	1619	1447	2103	1752
ENSRNOG00000008794	480	594	1123	598
ENSRNOG00000008797	3125	3025	3717	3363
ENSRNOG00000008798	3052	3010	3515	2816
ENSRNOG00000008802	1135	1219	2278	1947
ENSRNOG00000008807	62	58	88	45
ENSRNOG00000008810	114	145	800	658
ENSRNOG00000008812	842	976	1309	993
ENSRNOG00000008815	211	209	366	299
ENSRNOG00000008816	773	912	1148	841
ENSRNOG00000008822	3445	4517	5063	3751
ENSRNOG00000008825	1972	2231	4262	3717
ENSRNOG00000008829	459	607	911	572
ENSRNOG00000008830	2397	2805	5287	3792
ENSRNOG00000008831	10	12	26	13
ENSRNOG00000008834	220	113	323	145
ENSRNOG00000008837	56483	65404	399376	328271
ENSRNOG00000008839	493	346	736	455
ENSRNOG00000008841	22	36	67	30
ENSRNOG00000008842	78	39	61	56
ENSRNOG00000008843	3610	4178	9852	6941
ENSRNOG00000008845	449	508	480	437
ENSRNOG00000008846	24	31	47	35
ENSRNOG00000008850	309	337	337	331
ENSRNOG00000008851	825	857	3494	3006
ENSRNOG00000008855	1601	1630	2639	1608
ENSRNOG00000008857	287	251	488	327
ENSRNOG00000008859	2055	1769	2524	1950
ENSRNOG00000008868	188	238	264	235
ENSRNOG00000008869	144	119	248	186
ENSRNOG00000008870	1811	1959	2497	1895
ENSRNOG00000008872	365	416	418	403
ENSRNOG00000008880	45	24	45	34
ENSRNOG00000008885	89	41	140	61
ENSRNOG00000008890	216	184	346	204
ENSRNOG00000008891	2106	2136	1772	1781
ENSRNOG00000008892	10508	10271	12321	4063
ENSRNOG00000008895	12025	13908	23748	18491
ENSRNOG00000008897	499	523	2335	1603
ENSRNOG00000008898	443	401	943	788
ENSRNOG00000008901	31	24	35	41
ENSRNOG00000008902	36090	33041	41886	34026
ENSRNOG00000008904	652	532	1153	664
ENSRNOG00000008907	4500	3706	13866	12064
ENSRNOG00000008908	432	508	493	459
ENSRNOG00000008912	1464	1717	1843	1628
ENSRNOG00000008915	12	10	30	19
ENSRNOG00000008917	3050	2342	4721	3211
ENSRNOG00000008919	192	152	145	110
ENSRNOG00000008921	3949	3632	4291	4020
ENSRNOG00000008922	1533	1436	2518	1978
ENSRNOG00000008924	8919	8348	15740	12651
ENSRNOG00000008927	4403	4444	21658	17092
ENSRNOG00000008929	2866	2441	3810	2766
ENSRNOG00000008930	3	6	10	5
ENSRNOG00000008931	831	642	2853	2353
ENSRNOG00000008932	403	415	1298	971
ENSRNOG00000008933	3432	3966	4988	3924
ENSRNOG00000008934	1032	978	3347	2519
ENSRNOG00000008936	12	23	28	14
ENSRNOG00000008937	1569	1801	2179	1616
ENSRNOG00000008941	3856	4072	6313	4289
ENSRNOG00000008942	0	0	30	12
ENSRNOG00000008943	1	4	7	1
ENSRNOG00000008944	1964	2017	2984	2270
ENSRNOG00000008945	1690	1885	2178	1805
ENSRNOG00000008947	222	291	823	588
ENSRNOG00000008950	4186	4522	5533	4274
ENSRNOG00000008956	147	190	922	518
ENSRNOG00000008961	424	442	939	554
ENSRNOG00000008965	3215	2841	8084	1998
ENSRNOG00000008966	12	13	27	14
ENSRNOG00000008970	519	367	617	421
ENSRNOG00000008971	1847	1157	2637	1529
ENSRNOG00000008978	235	294	304	278
ENSRNOG00000008980	115	122	126	126
ENSRNOG00000008981	8486	9238	11008	9487
ENSRNOG00000008984	25	29	33	34
ENSRNOG00000008986	166	205	345	155
ENSRNOG00000008987	1789	2144	8136	6709
ENSRNOG00000008988	39909	41391	50371	40514
ENSRNOG00000008989	378	558	576	400
ENSRNOG00000008990	279	257	487	374
ENSRNOG00000008992	31	52	38	15
ENSRNOG00000008994	1556	1804	2319	1704
ENSRNOG00000008996	59	61	160	93
ENSRNOG00000009000	461	523	2630	1628
ENSRNOG00000009001	5833	5936	11559	8592
ENSRNOG00000009005	8515	9686	22509	14003
ENSRNOG00000009006	4264	3835	4438	4507
ENSRNOG00000009008	263	329	426	374
ENSRNOG00000009014	1	5	4	4
ENSRNOG00000009015	4116	4604	5695	4959
ENSRNOG00000009019	3559	2186	3792	2666
ENSRNOG00000009020	1080	1274	1176	1063
ENSRNOG00000009028	365	463	1691	983
ENSRNOG00000009029	2087	2029	3322	2233
ENSRNOG00000009030	26	38	43	39
ENSRNOG00000009031	36	121	490	394
ENSRNOG00000009032	146	143	206	166
ENSRNOG00000009034	991	801	1284	1101
ENSRNOG00000009035	864	1009	3921	3273
ENSRNOG00000009037	78	71	105	77
ENSRNOG00000009039	1932	2216	2281	2105
ENSRNOG00000009040	199	272	374	249
ENSRNOG00000009042	3539	4176	5503	4671
ENSRNOG00000009043	18	22	20	14
ENSRNOG00000009045	346	350	398	332
ENSRNOG00000009046	359	386	766	407
ENSRNOG00000009049	213	229	257	222
ENSRNOG00000009052	1039	928	2231	1457
ENSRNOG00000009057	3644	3387	15343	14048
ENSRNOG00000009063	896	999	999	865
ENSRNOG00000009066	410	454	828	547
ENSRNOG00000009068	371	197	435	303
ENSRNOG00000009069	1766	2114	2909	2327
ENSRNOG00000009071	596	535	6481	5862
ENSRNOG00000009074	296	179	318	219
ENSRNOG00000009075	102	78	79	78
ENSRNOG00000009076	459	662	1092	773
ENSRNOG00000009078	1314	1687	1874	1328
ENSRNOG00000009079	45	31	90	55
ENSRNOG00000009080	964	1119	1147	1091
ENSRNOG00000009084	448	476	1538	1412
ENSRNOG00000009085	1133	977	2259	1329
ENSRNOG00000009086	24653	32570	35408	31552
ENSRNOG00000009088	3885	4374	5390	4918
ENSRNOG00000009090	5055	4898	3527	2507
ENSRNOG00000009094	10621	13436	17630	12122
ENSRNOG00000009096	3043	2963	3122	2639
ENSRNOG00000009097	3585	3813	7442	7105
ENSRNOG00000009102	6237	6358	8408	6511
ENSRNOG00000009103	504	509	434	425
ENSRNOG00000009104	1946	2005	2200	1718
ENSRNOG00000009106	3	2	0	2
ENSRNOG00000009110	991	1112	1573	1315
ENSRNOG00000009113	457	579	561	389
ENSRNOG00000009114	45	62	56	57
ENSRNOG00000009116	162	120	148	92
ENSRNOG00000009117	278	367	487	533
ENSRNOG00000009125	756	701	1101	1248
ENSRNOG00000009131	125	249	309	198
ENSRNOG00000009134	332	306	312	273
ENSRNOG00000009137	503	462	800	740
ENSRNOG00000009139	1128	1097	1683	1447
ENSRNOG00000009140	7	7	6	5
ENSRNOG00000009143	220	247	255	283
ENSRNOG00000009144	16	11	14	12
ENSRNOG00000009145	10420	5528	16768	12398
ENSRNOG00000009148	82	107	144	110
ENSRNOG00000009149	415	396	986	651
ENSRNOG00000009151	1053	883	1576	997
ENSRNOG00000009152	6500	6830	7726	7687
ENSRNOG00000009153	885	1155	1928	1125
ENSRNOG00000009155	2494	2793	3730	3419
ENSRNOG00000009156	1214	1051	1923	1456
ENSRNOG00000009157	111	166	204	133
ENSRNOG00000009161	1973	1869	5523	4643
ENSRNOG00000009163	346	321	518	462
ENSRNOG00000009166	1135	1408	6085	5984
ENSRNOG00000009170	1084	867	1120	1158
ENSRNOG00000009173	342	375	799	416
ENSRNOG00000009175	590	726	957	706
ENSRNOG00000009176	370	456	486	485
ENSRNOG00000009177	21	16	20	18
ENSRNOG00000009183	1436	1739	2362	1839
ENSRNOG00000009184	3278	1865	5919	3430
ENSRNOG00000009191	29	34	54	44
ENSRNOG00000009192	336	306	403	338
ENSRNOG00000009195	1302	1153	2061	1839
ENSRNOG00000009196	2270	2229	3524	2891
ENSRNOG00000009199	171	240	203	212
ENSRNOG00000009204	20	18	23	14
ENSRNOG00000009205	583	673	769	632
ENSRNOG00000009207	121	177	256	144
ENSRNOG00000009208	941	714	1132	920
ENSRNOG00000009211	133	185	252	148
ENSRNOG00000009217	392	528	528	383
ENSRNOG00000009219	3	1	10	5
ENSRNOG00000009220	177	148	271	230
ENSRNOG00000009221	20	30	40	26
ENSRNOG00000009222	364	476	1164	511
ENSRNOG00000009224	205	223	277	238
ENSRNOG00000009225	746	823	947	657
ENSRNOG00000009227	8	28	35	24
ENSRNOG00000009233	378	526	1754	1588
ENSRNOG00000009236	1099	1179	1689	1183
ENSRNOG00000009239	368	471	1172	819
ENSRNOG00000009243	4441	5108	9466	6065
ENSRNOG00000009244	1305	1648	2171	1401
ENSRNOG00000009245	211	227	280	267
ENSRNOG00000009248	2613	2785	4334	3619
ENSRNOG00000009250	673	731	801	643
ENSRNOG00000009252	3914	4376	4041	3785
ENSRNOG00000009253	4	0	12	2
ENSRNOG00000009255	1025	1084	1144	1348
ENSRNOG00000009258	712	657	1669	885
ENSRNOG00000009260	128	117	229	149
ENSRNOG00000009263	14381	14092	11809	8717
ENSRNOG00000009264	2265	1736	15635	12072
ENSRNOG00000009266	902	982	1496	1087
ENSRNOG00000009267	1146	1304	1935	1352
ENSRNOG00000009271	1733	1905	2772	2413
ENSRNOG00000009273	2479	147	431	397
ENSRNOG00000009274	125	136	207	194
ENSRNOG00000009275	6322	7309	8007	7637
ENSRNOG00000009276	138	104	302	148
ENSRNOG00000009278	393	365	433	427
ENSRNOG00000009280	1615	1687	1807	1738
ENSRNOG00000009281	1478	1454	2225	1687
ENSRNOG00000009282	1177	1249	2488	2343
ENSRNOG00000009284	416	498	965	482
ENSRNOG00000009285	471	439	516	510
ENSRNOG00000009289	1349	1306	1899	1562
ENSRNOG00000009290	441	496	604	484
ENSRNOG00000009291	1891	2521	2854	2391
ENSRNOG00000009296	348	410	388	427
ENSRNOG00000009297	1112	1120	1036	797
ENSRNOG00000009298	38	58	247	169
ENSRNOG00000009302	120	165	364	291
ENSRNOG00000009303	117	131	177	103
ENSRNOG00000009309	306	258	360	281
ENSRNOG00000009310	863	954	1206	974
ENSRNOG00000009311	5	12	16	6
ENSRNOG00000009313	1550	1674	2205	1890
ENSRNOG00000009316	201	187	314	257
ENSRNOG00000009318	529	344	846	921
ENSRNOG00000009322	532	441	2316	1530
ENSRNOG00000009323	260	264	755	497
ENSRNOG00000009325	2331	2736	3361	2694
ENSRNOG00000009329	247	274	357	290
ENSRNOG00000009330	813	957	1248	897
ENSRNOG00000009331	644	818	4746	4287
