baseMean log2FoldChange lfcSE stat pvalue padj
ENSRNOG00000000017 7.69493446131219 0.602421717248247 0.663352832296829 0.908146747730599 0.363800694751673 0.749460187285828
ENSRNOG00000000024 3544.23807056958 -0.0926278110741462 0.196773926435688 -0.470732137900495 0.637832031198833 0.902274121254953
ENSRNOG00000000033 111.4394505611 0.12090513425043 0.439087223031505 0.275355619358924 0.783043037202484 0.950934920413647
ENSRNOG00000000034 783.974916467303 0.0740089795456513 0.324397919840122 0.228142583596487 0.819535395961969 0.960731603931953
ENSRNOG00000000036 99.1511412969459 -0.653734597396124 0.489446728873482 -1.33566036675895 0.181660309234684 0.543269029107276
ENSRNOG00000000040 14.4927360332742 0.0240667057960935 0.639705797855968 0.0376215220758594 0.969989447932518 0.995223759886251
ENSRNOG00000000042 681.683459671377 -0.200281130748508 0.251742446624522 -0.795579503710914 0.426276483655329 0.797828678639503
ENSRNOG00000000043 425.146639042739 0.00391627040463314 0.276176428572965 0.0141803209812979 0.988686119991731 0.997522982314481
ENSRNOG00000000044 344.212943228455 -0.104702044423842 0.316655765747614 -0.330649417283289 0.740909314151925 0.938760306491845
ENSRNOG00000000047 1846.32900651849 -0.0645582574513354 0.199443969084941 -0.32369119882407 0.746171834753404 0.940511182224369
ENSRNOG00000000048 2803.62263033984 -0.0715650853747646 0.202975662036479 -0.35257963766071 0.72440360523696 0.933464587429182
ENSRNOG00000000053 398456.372375853 0.030738579654797 0.268122171973782 0.114643930520609 0.908727357727865 0.981052459973748
ENSRNOG00000000054 92.6586381451921 0.869105535567702 0.446978443311477 1.94440145508777 0.0518470585388095 0.237126931627861
ENSRNOG00000000062 203.362977032276 -0.383982590429347 0.373596199988015 -1.02780111372028 0.304043392287285 0.696136934757095
ENSRNOG00000000064 4458.48523468985 0.623606382005781 0.272375141931941 2.28951282992485 0.0220495733252052 0.120115160716866
ENSRNOG00000000065 7.24900016858611 -0.997837640856851 0.70206111703345 -1.4212974008206 0.15523031883116 0.49469241727464
ENSRNOG00000000066 629.035489411217 -0.109990817268733 0.231594787496073 -0.474927861969252 0.634838391609078 0.900869803544615
ENSRNOG00000000068 14749.9171325968 -0.0161583280468991 0.217148755281299 -0.0744113316512787 0.940683092448009 0.989208411286924
ENSRNOG00000000073 3513.18385199656 0.202911097262413 0.214678203330263 0.945187234263613 0.344563295580255 0.731587168428218
ENSRNOG00000000075 875.816265471237 0.0208503764598906 0.243162470488931 0.0857466878748452 0.931667787215555 0.986884657255359
